400,31.2835145352871,528593452111579
430,34.0692102155169,479112152750946
460,36.884737888474,437277661462108
490,39.72816880631,401505823046181
520,42.5978096930681,370613870390771
550,45.4921620193687,343702268351052
580,48.409890167454,320075669254827
610,51.3497961841922,299188743605643
640,54.3107995003805,280608256418514
670,57.2919204515148,263986006094170
700,60.2922667485451,249039181033143
730,63.3110222663144,235535878535291
760,66.347437673416,223284278461010
790,69.4008225400724,212124445021962
820,72.4705386434711,201922045552523
850,75.5559942515995,192563485917222
880,78.6566392129909,183952105455972
910,81.7719607150979,176005173224471
940,84.9014796011594,168651496488010
970,88.044747156512,161829501512383
1000,91.2013422918192,155485681941857
1030,94.3708690637335,149573335653370
1060,97.5529544839069,144051529767475
1090,100.747246575587,138884247428530
1120,103.95341264377,134039680392649
1150,107.171137730338,129489639332885
1180,110.400123230089,125209059762379
1210,113.640085647235,121175586072342
1240,116.890755474962,117369219733423
1270,120.151876183212,113772020472969
1300,123.423203301901,110367851405568
1330,126.704503588587,107142160800769
1360,129.995554271076,104081794524871
1390,133.296142356713,101174834272609
1420,136.606064001173,98410457569470.4
1450,139.925123930477,95778816222377.4
1480,143.253134910736,93270930460830.9
1510,146.589917260782,90878596469769.7
1540,149.935298403476,88594305390584.3
1570,153.289112451848,86411172174778.6
1600,156.65119982684,84322872928355.5
